id,question,answer,tags
38,"Ну у меня датчик давления в котле завышает по сравнению со стрелочными ☺️ А если давление ходит вместе с температурой, то это первый звоночек на проверку РБ. Когда-то пауза между включениями котла станет чуть больше, давление упадёт до порога, и котёл уже не включится, уйдя в ошибку. Смысла тянуть с проверкой никакого. Весна ведь, включаться будет всё реже и реже...","Целиком поддерживаю! У меня идея такая. В esp32 организовать массив термостатов для каждой комнаты, чтобы в зависимости от целевой и текущей температуры программа вычисляла заданную температуру теплоносителя. И тогда получается прозрачная логика. Максимальная расчетная из всех термостатов подается на котел, остальные термостаты рулят головками на коллекторе. Все работают по одинаковому алгоритму. Таким образом, всегда минимум один контур будет открыт и насос не будет ""работать на задвижку"". Чисто программное решение, из оборудования только датчики в комнатах и головки на коллекторе. Ну и i2c-шные расширители портов.",sensors;pressure;hardware;diagnostics;cluster;curated;curated
39,"У меня сейчас Vers <IP> build Oct 17 2025 По ссылке свежее? Сегодняшнее, похоже","Как работает мой одноконтурный baxi с бкн на 24кВт. Да, действительно, он нагревается до 60 (у меня такая стоит) при этом при приближении к температуре заранее сбавляет модуляцию. Когда температура 60-65, котёл сбрасывает модуляцию в 0%, но не выключает горелку. У меня температура начинает падать и он опять поднимает модуляцию. И так, как ты говоришь, на протяжении 30-40 минут. Но он не тактует. По заявлению производителя на моём котле минимальная модуляция от 9кВт и до 24. Соответственно мне надо чуть больше 9кВт. 24кВт нужно именно для нагрева бойлера и тут расчёт не на ваше желание или хотелки. А всё подбирается в зависимости от мощности (теплосъёма) змеевика в бкн. Выбрали маленький котёл, будет греть долго и не будет успевать нагреть воду при большом расходе, фактически на протоке. Выбрали слишком большой котёл, глубины его модуляции не хватит для снижения в режиме СО и будет тактовать.",firmware;baxi;hot_water;cluster;curated;curated
40,Как подключить котёл к SmartTherm (общая схема)?,"Общий порядок подключения: 1) Уточните модель котла и тип управления: OpenTherm (цифровая шина) или on/off (сухой контакт / комнатный термостат). 2) Отключите питание котла. Подключите клеммы OT или клеммы комнатного термостата по инструкции котла и SmartTherm (витая пара, без 220 В на OT). 3) В настройках котла включите режим внешнего термостата / OpenTherm. 4) В SmartTherm выберите тот же режим (OT или on/off), укажите модель котла. 5) Включите питание, проверьте обмен (температура, статус OT, нет ошибок). Важно: на время настройки оставьте один активный контроллер на шине. Для разбора пришлите модель котла и фото клемм.",wiring;opentherm;installation;curated;curated;curated
41,Есть ли прямая интеграция SmartTherm с Home Assistant?,"Прямой «официальной» интеграции HA в виде одного плагина обычно нет. Типовые варианты: 1) MQTT — если прошивка публикует топики, подключите MQTT-интеграцию в Home Assistant. 2) ESPHome — у части пользователей связка SmartTherm ↔ HA через ESPHome (зависит от прошивки и конфигурации). 3) Альтернативные прошивки — расширенные сценарии через MQTT/ESPHome. Для настройки нужны: адрес MQTT-брокера, учётные данные, список топиков или конфиг ESPHome. Уточните версию прошивки SmartTherm.",homeassistant;mqtt;integration;curated;curated;curated
42,"Этот сценарий в случае если температуру надо поднять на несколько градусов, а если поддерживать постоянную то другой сценарий. Посмотрите мой график у меня сейчас как раз выставлена постоянная температура в доме, и вот что происходит, когда опускается ниже заданной то PID начинает ее постепенно поднимать, соответственно котел включается начинается нагрев. Принцип работы внутри котла неизвестен что там с мощностью, но горелка работает постоянно. P","Как работает мой одноконтурный baxi с бкн на 24кВт. Да, действительно, он нагревается до 60 (у меня такая стоит) при этом при приближении к температуре заранее сбавляет модуляцию. Когда температура 60-65, котёл сбрасывает модуляцию в 0%, но не выключает горелку. У меня температура начинает падать и он опять поднимает модуляцию. И так, как ты говоришь, на протяжении 30-40 минут. Но он не тактует. По заявлению производителя на моём котле минимальная модуляция от 9кВт и до 24. Соответственно мне надо чуть больше 9кВт. 24кВт нужно именно для нагрева бойлера и тут расчёт не на ваше желание или хотелки. А всё подбирается в зависимости от мощности (теплосъёма) змеевика в бкн. Выбрали маленький котёл, будет греть долго и не будет успевать нагреть воду при большом расходе, фактически на протоке. Выбрали слишком большой котёл, глубины его модуляции не хватит для снижения в режиме СО и будет тактовать.",baxi;settings;hot_water;from_chat
43,"Вот с этим очень согласен! Я тут в чате нахожусь недельку может, но до сих пор не понимаю нужен ли этот контроллер мне. Стоит котёл - гидрострелка - потребитель радиатор, потребитель тёплые полы. Все радиаторы управляются термостатами в комнатах и открывают /закрывают по темп комнаты. Контура теплого пола регулируется также сервоприводами по темп помещения. Котёл в межсезонье тактует из-за малого теплосьема. Но это может даже и не тактование. Пос","Соглашусь. Но там всё очень взаимосвязано. Поставил себе датчики температуры на коллекторы подачи и обратки. И действительно, дельта между ними практически константа. Так само собой получается. При малых нагревах дельта маленькая, когда прогреваю <ADDRESS> большая. Иметь два органа управления в виде заданной температуры/модуляции и скорости насоса выгодно, так как можно оптимизировать расходы при одной и той же мощности. Это уже второй порядок сложности. Тут с первым бы разобраться 😉",sensors;from_chat
44,"поддержу обоих ораторов при наличии контроллера, любая автоматика (кроме безопасности) - лишняя. Если конкретно про ПЗА, то при исключительно теплых полах ... я вообще не понимаю как отапливаться только теплыми полами при их инертности. Ну и смотреть на ""забортную"" температуру не достаточно, есть ещё сила ветра и направление (у меня от этого температура в доме почему-то зависит). У себя сделал завязку на температуру в каждой комнате и отдельно (д","<USER> к вопросу должен ли котел знать температуру на улице - производитель заявляет что у них есть ПЗА, по факту получается что в нашем климате она работать не будет. Не допилили прошивку под наш рынок редиски Турецкие, а наши молчат.",wifi;firmware;wiring;safety;from_chat
45,"Господа,не так давно была авария в системе трубопровода отопления на радиаторы-трубка с недоконца закрученной гайки слетела, давление в котле упало и он выключился.Я находился вне дома.По приезду увидел запись о том что последняя операция была легионела по уставке котла раз в неделю греть БКН.В этот понедельник ночевал в доме и заметил вот что:Меня разбудил постоянный такт котла за стеной.Когда зашёл в бойлерную то увидел,что котёл прогрел БКН до",Без контроллера работала ПЗА и при достижении уставки термостат рвал контакт - горелка гасла и после времени выбега насос стопился и трёхходовой переходил в ГВС. После пары часов термостат запускал котёл нагревая теплонаситель до t° по ПЗА.,sensors;wiring;settings;hot_water;pressure;from_chat
46,"вот моё мнение : котёл должен включаться и давать тепло тогда когда попросил любой из потребителей в каждой комнате - зональное регулирование так сказать. А как вот у большинства настроено работа по одному датчику в самой холодной комнате - я считаю что все равно дискомфорт присутствует, даже если эти люди будут говорить что норм все. Теплопотери комнат разные, солнечная сторона одна, ветер надувает с любой стороны и прочие прочие вещи","Соглашусь. Но там всё очень взаимосвязано. Поставил себе датчики температуры на коллекторы подачи и обратки. И действительно, дельта между ними практически константа. Так само собой получается. При малых нагревах дельта маленькая, когда прогреваю <ADDRESS> большая. Иметь два органа управления в виде заданной температуры/модуляции и скорости насоса выгодно, так как можно оптимизировать расходы при одной и той же мощности. Это уже второй порядок сложности. Тут с первым бы разобраться 😉",sensors;from_chat
47,"Доброе утро! Интересный вопрос, нужен ли pid? Смотрю на график работы PID температура растет постепенно потом акже постепенно падает все время нагрева работает насос, а если без pid сразу врубить котел на полную и потом отключить то общее время работы насоса будет меньше т.е. электричества меньше потратится Кто нить задумывался какой режим лучше?","Для анализа не хватает графика включений горелки. Когда включаете по гистересису, котёл сразу жарит на полную мощьность. Быстро достигает заданной температуры СО. И начинает тактовать. Пока комната не прогреется. С PID температура на котле увеличивается постепенно. Горелка работает на минимуме. Снижается прогорание топки. Тактования нет или оно существенно меньше. Газа сгорит одинаково. Помпа при гистерезисе работает меньше, но это не точно. Дальше сами решаете, что важнее : моторесурс помпы или износ горелки и топки.",settings;from_chat
48,"тут не совсем так работает) как минимум у меня система заточена под свою логику и используется свой сайт для управления и сбора данных, несколько плат обмениваются данными через сайт и т.п. т.е. делалось под конкретную задачу и не залетит у всех. просто проще всё с нуля переписать. логика устройства проста: одна Mega для сбора температур и управления 16 реле для запуска сервоприводов по температуре и своему расписанию образа жизни (типа тёплых по","нет. Не совсем так. Если у нас в контроллере не включен PID, то при включении отопления котлу передается ""Ополение включить"" и ""Выставить целевую температуру теплоносителя"". После этого котел сам решает, когда ему включится и как греть до целевой. Если текущая температура теплоносителя выше целевой, то не включится. Если это Мизудо, то он будет хотеть разность до 15 градусов.",settings;from_chat
49,"Прошу прощения, только начинаю вникать в тему. Я правильно понял, что mqtt discovery - это что-то внешнее, и при отсутствии интернета на работает? А также такой вопрос - как себя поведет контроллер, если пропадет связь с HA и термодатчиком, расположенным в комнате?","В платной прошивке вся логика управления котлом работает на самом контроллере opentherm. Включая термостаты. Поэтому потеря связи с HA, MQTT и интернетом не повлияют на отопление. HA используется только для мониторинга и смены режима работы. Если комнатная или уличная температура поступает на контроллер по сети (например из HA), то есть аварийный режим. Контроллер понимает, что связи по сети нет и переключается на проводной датчик подключенный прямо в контроллер. Или включает непрерывное поддержание заданной температуры отопления. Пока связь не восстановится.",opentherm;mqtt;sensors;firmware;wiring;from_chat
50,"Если вы так сильны в unix, может быть посмотреть в сторону vlan + firewall, а для https настроить ревирс прокси на nginx или apache? Думаю можно придумать ни один вариант для подключения к девайсу безопасно.","Это все правильно. Но все эти методы не отменяют использование Wi-Fi. Wi-Fi плох несколькими моментами. Во-первых, насколько мне удалось понять – этот чип используют устаревший протокол шифрования и аутентификации. Во-вторых, протокол Wi-Fi работает без гарантии доставки. Да, там можно настроить классы обслуживания и задать этому трафику класс, который будет обслуживаться и приоритетной очереди на порту. Но это всё равно, не дает гарантии доставки сообщений – и по-моему, в этом чипе механизмы класса обслуживания нереализованной. Я хочу работать – по проводам. И в идеале – в текстовом режиме, из Линукса.",wifi;wiring;safety;from_chat
51,"это код для smartTherm внутрянки, как я понимаю. и тут наверное просто режим задётся топить или нет. для HA offMode и HeatMode - это просто режимы топить или нет, а отопление ""включается"" только от температуры. если mode heat в HA - то при опускании температуры сенсора ниже заданной температуры - включится отопление. а если mode off - то ничего не включится даже при заданной температуре и температуре сенсора ниже её","нет. Не совсем так. Если у нас в контроллере не включен PID, то при включении отопления котлу передается ""Ополение включить"" и ""Выставить целевую температуру теплоносителя"". После этого котел сам решает, когда ему включится и как греть до целевой. Если текущая температура теплоносителя выше целевой, то не включится. Если это Мизудо, то он будет хотеть разность до 15 градусов.",mqtt;settings;from_chat
52,"Рост температуры как раз легко объяснить. После выключения горелки насос еще 10мин работает и мы на графике наблюдаем плавный спуск, потом насос отключается и котёл стоит в выключенном состоянии (это у меня автоматизация ПЗА так работает) вот как раз после отключения насоса начинается рост температуры (тк датчик внутри теплообменника протока нет а он еще теплый).","по идее прокачка насосом теплообменник охлаждает до температуры обратки, после отключения насоса наблюдается небольшой подъем, но не выше температуры подачи... Плюс в технологическом меню обычно можно выбрать время работы насоса после выключения горелки. Что касается нагрева БКН, контроллер никак не контролирует этот процесс, только может задавать температуру нагрева и показывать текущее состояние",sensors;from_chat
53,При подключении по Open Therm управление с панели котла возможно? Что в приоритете?,"Добрый день. Брал ваш контроллер esp32 в прошлом году. Отработал зиму и лето на стоковой прошивке. Отличное решение и лучше не придумать. За что вам отдельная огромная благодарность. Управлял через мини пк по удаленке, на котором висит много чего и охранка пожарка видеонаблюдение, умный дом, солнечный инвертор и прочее, интернет не более 2Мбит/с увеличения нет и не будет, глухомань, но достаточно для удаленке с пк. ХоумАсист для меня сложновато, есть вариант поставить на мини пк, пробовал, не смог осилить, вернул всё назад, сложно для меня. Так вот, какой вопрос. Есть ли какая прошивка, посвежее, чтоб с мобилы управлять и/или чтоб к умному дому привязать (MiJia Hub)???",opentherm;firmware;wiring;hardware;from_chat
54,"я в своё время (+-год назад) то же хотел актуатор на теплый пол ... понял что фигня (именно для меня, у вас ситуация сложнее) у меня ТП+радиаторы на первом этаже, радиаторы на втором радиаторы на первом поставил для подстраховки, оказались очень даже нужны","Попробуйте посмотреть в сторону одного сервопривода на термостат смесительного узла. Котёл, как я понимаю, не конденсационный, гонит в радиаторы, а в теплый пол через узел подмеса. Одним приводом на этом узле подмеса можно будет менять температуру подачи в коллектор ТП. На каждую петлю ставить свой регулятор может оказаться существенно дороже. А так один раз отбалансируете, и далее температурой подачи в коллектор будете держать заданную температуру на первом этаже.",general;from_chat
55,"Видимо не все вводные я дал. У меня свое прямое управление клапаном и модуляцией. Котел делает, что я скажу без самодеятельности. И управляя им, я не вижу особой разницы при включенной модуляции и работе по комнатному термостату без модуляции. Как я выше описал. Я пробовал ограничивать верх температуры котла по темп. Улицы. Тогда он модулирует перед выключением какое-то время. Но разницы по расходу я не поймал. По забросам температуры в доме разн","И как она меняется? Тоже ""котлом по своему разумению"". Я к тому ,что расчетная U(как уставка для котла) никогда не равняется температуре котла!👎 Если это так, то что делает _сам_ контроллер в этой цепочке?",settings;from_chat
56,Режим slave это настройки в котле? Или команды OT. BAXI Ampera толком не управляется. Приходится руками её переключать,"При подключении Котел и Контроллер ""представляются"" друг-другу. И контроллер переводит котел в режим ведомого. Если этого не сделать то будет работать только мониторинг. Команды котел принимать не будет или совсем, или частично. Что бы перевести котел в режим ведомого, контроллер сообщает котлу свой код производителя. В 99% случаев подходит код считанный с котла или ноль. Команда в ID:2 сообщает котлу, что к нему подключилось устройство с кодом производителя: таким то... . Если котел сочтет код корректным, то переключится в режим ведомого. И им можно будет управлять, а не только мониторить.",opentherm;baxi;wiring;settings;from_chat
57,"Господа,а разве одно контурный котёл проблему не решает с железом ,кальцием и всего остального?Система отопления заполняется водой из осмоса и циркулирует в замкнутом контуре и на отопление и на подогрев горячей воды в бойлере.Для питья и приготовления пищи используется тот же самый осмос,а перед входом для всех потребителей в доме ставим магистральный фильтр.Или я отстал от времени и сейчас люди устали ничего не решать и не делать и сами придумы","С растворённым железом эффективно использую аэрационную колонну, после неё фильтр с засыпкой экотар. Работает с китайским контроллером уже почти 10 лет нормально. Анализ на железо не сдавал, но санфаянс белоснежный.)",hot_water;from_chat
58,"15квт котёл? Откуда ты знаешь что он работает на 10% мощности? У конвекционных котлов есть минимальная мощность, ниже которой не могут работать они. Для моего котла 24квт, минимум это 9-10квт","Соглашусь. Но там всё очень взаимосвязано. Поставил себе датчики температуры на коллекторы подачи и обратки. И действительно, дельта между ними практически константа. Так само собой получается. При малых нагревах дельта маленькая, когда прогреваю <ADDRESS> большая. Иметь два органа управления в виде заданной температуры/модуляции и скорости насоса выгодно, так как можно оптимизировать расходы при одной и той же мощности. Это уже второй порядок сложности. Тут с первым бы разобраться 😉",sensors;from_chat
59,"Почитал про настройки выше, но у меня ситуация сложнее. Пока к котлу подключена лишь одна петля и он часто тактует. Металлопластик 16 мм диаметром и теплоносителя очень мало, уходит в перегрев примерно раз в 4 минуты. Что тут можно покрутить? Я модуляцию котла снизил до 20%, но не уверен, что котел так умеет. Максимальную температуру тоже снизил с 80 до 65 градусов, но не особо помогает.","У котлового насоса бывает переключатель скорости. Хорошо бы на максимальную поставить, чтоб хоть как-то снимать тепло. И зачем такая высокая температура? Если котел не может меньше, то пусть работает в гистерезисе. Вкл/выкл по температуре в комнате. Я так делал, норм.",wiring;settings;from_chat
60,"Теоретически можно запитать от котла если там есть 5в. Но перед тем как ставить контроллер внутрь котла сначала проверьте насколько хорошо он будет там ловить wifi. Корпус котла железный, а антеннка у контроллера маленькая.","Питание от платы котла брать страшно. Даже если там есть 5 вольт. Далеко не факт, что хватит тока. Просадить питание плате котла - так себе удовольствие. Если есть желание спрятать внутрь, имеет смысл по витой паре вместе с проводными датчиками температуры пустить 5 вольт по свободным проводкам. Или наоборот утащить от котла подальше, да запитать от обычной зарядки. По протоколу OpenTherm линия аж 50 метров допускается.",opentherm;wifi;sensors;wiring;power;from_chat
61,"чем гадать какую воду наливать просто возьмите с крана воду, которая у вас течет, возьмите с пятёрочки, со скважины у соседа, кипяченную воду, после осмоса, с водомата и купите прибор замеряющий Рн и РРМ. Рн не должен быть ниже 7. Но и сильно выше 7 не должен. Оптимально 7-8 Ррм не должен быть близок к дистиляту (то есть 5-10). Но и как со скважины в 500ррм тоже не надо","Т.е. для измерения температуры? По сути часть автоматики работы котла заменяется тем, что насос крутиться и проталкивает по трубам теплоноситель. Сколько там? 300 литров в час. Хотя электроны по проводам сделают это с максимальной скоростью и за минимальную цену.",wiring;from_chat
62,"Ну вот я тебе говорю что концекционный котёл не может априори выдать меньше чем 9-10квт. Так работают все котлы, не считая тех которых указал и конденсационных","У меня мизудо 15TH. Контроллер показывает постоянно 4%😵. В FH эту проблемы тоже озвучили, но как бороться не сказали. Причем, на дисплее ""лесенка"" модуляции меняется. Т.е. какбЭ модуляция есть, но в контроллере всегда 4% Официалы мизудо ответили:""Если вы видите модуляцию в 4% на своем телефоне, то скорее всего это настройка самого Зонта, возможно его нужно перенастроить, но это уже к производителю автоматики Зонт. На самом котле у нас % модуляции не отражается."" Конец.",settings;from_chat
63,"Возможно и попробовать подключить их в параллель и узнать,последствии думаю с приборами не будет или ошибаюсь господа?","Не очень наглядно, но примерно так выглядит сигнал opentherm. Т.е. адаптер и панель будут одновременно передавать команды путём падения напряжения. Если они попадут в один промежуток времени, то котёл ничего не поймёт. Если они придут в разное время, то в лучшем случае котёл будет реагировать на команды одного, и тут же на команды другого. Но скорее всего котёл сойдёт с ума и выдаст ошибку, так как протоколом определён определённые тайминги для передачи команд и время простоя. Но ничего сломаться не должно)",opentherm;wiring;diagnostics;from_chat
64,У вас на сайте нашел что ваша приставка к котлам тоже работает со стаут. Но комментариев там нет..,"Так тогда надо писать в чаты счастливых обладателей конкретно этих котлов, а тут солянка, может и есть , но не факт что они ответят в пятницу вечером😅. Имел дело с разными котлами и разными родными девайсами и приложениями... Не рекомендую. К примеру к моему котлу в родном девайсе можно мин температуру задать 35, хотя котел по opentherm может 26, на радиаторах норм, а на теплых полах без смесительного узла критично. Staut и его родное приложение может в WiFi, если ваш роутер/точка доступа может в 4дж - будет работать.",opentherm;wifi;from_chat
65,"И да, выше писали - или в интерфейсе или в документации термодатчики перепутаны. Кстати а зачем их два ? Как это завязано в логике работы. И вообще не описано (или не нашел) как работает темостатирование","Термостатирования нет в прошивке. Но идея с двумя датчиками правильная. Один измеряет температуру на улице, другой в помещении. Можно реализовать управление котлом по эквитермическим кривым с компенсацией по комнатной температуре. Логика такая: чем холоднее на улице, тем выше температура до которой котёл будет греть воду. Если заданная пользователем температура в помещении не достигнута, то ещё прибавим нагрева.",sensors;firmware;from_chat
66,"Главное то, что котел может работать и без смарттерм, а вот зоопарк самоделок нет. Смарттерм беру для себя и надеюсь один раз настрою и забуду, пока не сдохнет. Остальное игрушки, есть и соноф и туя и ксяоми. Всем уже наигрался. Пс был бы электро котел, то сделал без проблем бы нормальный пид т.к. работаю с промышленными контролерами на языке fbd(ардуино, с++ и питон не умею)","Так он и без Home Assistant тогда будет работать, если что Просто не очень понятна идея подключения температурных датчиков к смарттерму, с любой прошивкой. Больше одного датчика ему не нужно ни в каком случае, и я бы советовал проводной.",mqtt;sensors;firmware;wiring;settings;from_chat
67,"Здравствуйте, всем! Нужна помощь. Не нашёл ответа на свой вопрос. Котёл зота мк-х 15 кВт, подключил к НА, после выключения режима нагрев, котёл выключается, но после включения нагрева через термостат в НА не включается (мощность котла стоит на 0, и только руками можно выставить на, например, 10 кВт, после этого начинает греть). Как заставить его включаться по термостату?",Котел Zota один из котлов со специфическими особенностями. В котел обязательно должны передаваться по шине opentherm комнатная температура и заданная температура термостата котла. Даже если термостат котла не используется.,opentherm;wiring;from_chat
68,"а я так понимаю что там какой-то другой контроллер и уже с прошивкой :-) к стати, а принципиально что у контроллера должно быть два ядра? я на одноядерном пытался запустить - оно прошилось, портал открылся, но после настройки wi-fi на мою сеть оно отваливается совсем - и в ком-порт ни чего не отвечает (тот что через USB) и по сети не видно","я один раз на этот одноядерный посмотрел - ну его нафиг. Что не работает - логично, в двуядерном одно ядро сетью-вайфаем занимается, а тут все в одной куче и без ""отдачи тиков процесору"", как говорили программисты на PC, когда он был однопроцессорным",wifi;firmware;power;settings;diagnostics;from_chat
69,"хочу вот это проделать ""При пропадании питания контроллера большая часть котлов выпадают в ошибку по причине отсутствия активности на интерфейсе OpenTherm. Если нормально замкнутое реле подключить к интерфейсу OpenTherm, то при отсутствии питания на контроллере оно будет замкнуто, т.е. будет работать как перемычка, котел будет работать без ошибки, без использование OpenTherm.","а, ну это надо сначала потренироваться, когда включено, когда выключено, когда питание выключено. Просто тестером в винтики разъемов потыкать, а потом провод с опентерма через реле подключить",opentherm;wiring;power;diagnostics;from_chat
70,"котел de dietrich naneo pmc 34 вопрос - уличного датчика для котла не покупал, может ли этот контроллер ""прокидывать"" данные уличного датчика в котел чтобы он свою погодозависимую автоматику задействовал? или контроллер сам может регулировать температуру теплоносителя по уличной погоде? (без подключения к НА)","насчет уличного датчика было тут <URL> ""Прокидывать"" уличный датчик может котел в контроллер (Параметр Text). Контроллер, наоборот, может прокидывать комнатную температуру (Troom) в котел. По идее контроллер может сам регулировать, но не в родной прошивке.",sensors;firmware;wiring;from_chat
71,"У меня уже все работает прекрасно 8 лет. Мне нужно включить модулирующим каскадом параллельно два котла в автоматическом режиме. Пока переключаю поочередно в ручном режиме. Мне нужно экспертное мнение специалиста по возможности применения SmartTherm. Я думаю, что достаточно ясно выразил текстом свою мысль?","Вам нужно написать модель котла{ов] и если они поддерживают то, но прошивка родная два котла не потянет, так как это разные сущности, и Вам придётся изучать альтернативные прошивки со всём вытекающим, тк как тут нет людей у кого котлов больше чем один",firmware;from_chat
